========== FILE: canara1m.pdf ==========


======= PAGE 1 =======

text='Chq:'                                   x0=  106.6 x1=  132.0 top=  454.0 bottom=  466.0
text='585143720228'                           x0=  135.3 x1=  215.4 top=  454.0 bottom=  466.0
text='UPI/DR/080417784091/JIO'                x0=  106.6 x1=  252.7 top=  478.0 bottom=  490.0
text='RECHA/YESB/**IRECT@YBL/P'               x0=  106.6 x1=  278.9 top=  490.0 bottom=  502.0
text='AYMENT'                                 x0=  106.6 x1=  156.6 top=  502.0 bottom=  514.0
text='//YBL4478E44CC1ED4E08867A'              x0=  106.6 x1=  280.7 top=  514.0 bottom=  526.0
text='23-11-2025'                             x0=   26.6 x1=   87.9 top=  520.0 bottom=  532.0
text='904.00'                                 x0=  453.7 x1=  490.4 top=  520.0 bottom=  532.0
text='1,739.54'                               x0=  534.5 x1=  581.2 top=  520.0 bottom=  532.0
text='433BDF5022B7/23/11/2025'                x0=  106.6 x1=  255.4 top=  526.0 bottom=  538.0
text='13:02:00'                               x0=  106.6 x1=  153.3 top=  538.0 bottom=  550.0
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  562.0 bottom=  574.0
text='080417784091'                           x0=  135.3 x1=  215.4 top=  562.0 bottom=  574.0
text='UPI/DR/422697011648/YULUBIK'            x0=  106.6 x1=  285.4 top=  586.0 bottom=  598.0
text='ES/UTIB/**9.RZP@AXISBANK/T'             x0=  106.6 x1=  282.9 top=  598.0 bottom=  610.0
text='OPUPBYU//AXL972BFCB87742'               x0=  106.6 x1=  280.1 top=  610.0 bottom=  622.0
text='24-11-2025'                             x0=   26.6 x1=   87.9 top=  622.0 bottom=  634.0
text='46198DB48DD3F3F112E1/24/11'             x0=  106.6 x1=  283.4 top=  622.0 bottom=  634.0
text='20.00'                                  x0=  460.3 x1=  490.4 top=  622.0 bottom=  634.0
text='1,719.54'                               x0=  534.5 x1=  581.2 top=  622.0 bottom=  634.0
text='/2025'                                  x0=  106.6 x1=  136.7 top=  634.0 bottom=  646.0
text='00:04:27'                               x0=  140.0 x1=  186.7 top=  634.0 bottom=  646.0
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  658.0 bottom=  670.0
text='422697011648'                           x0=  135.3 x1=  215.4 top=  658.0 bottom=  670.0
text='UPI/DR/669286687090/REBEL'              x0=  106.6 x1=  273.4 top=  682.0 bottom=  694.0
text='MAR/AIRP/**3.RZP@RXAIRTEL/'             x0=  106.6 x1=  285.5 top=  694.0 bottom=  706.0
text='PAYMENT'                                x0=  106.6 x1=  164.6 top=  706.0 bottom=  718.0
text='//YBL7E72BDB48C3F4FD9BD9C'              x0=  106.6 x1=  286.0 top=  718.0 bottom=  730.0
text='24-11-2025'                             x0=   26.6 x1=   87.9 top=  724.0 bottom=  736.0
text='249.00'                                 x0=  453.7 x1=  490.4 top=  724.0 bottom=  736.0
text='1,470.54'                               x0=  534.5 x1=  581.2 top=  724.0 bottom=  736.0
text='725A76A7DD5E/24/11/2025'                x0=  106.6 x1=  258.1 top=  730.0 bottom=  742.0
text='00:33:51'                               x0=  106.6 x1=  153.3 top=  742.0 bottom=  754.0
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  766.0 bottom=  778.0
text='669286687090'                           x0=  135.3 x1=  215.4 top=  766.0 bottom=  778.0
text='page'                                   x0=  531.6 x1=  558.3 top=  802.5 bottom=  814.5
